Word,Count
notary,45
might,45
learnt,45
tradesmen,45
entrainment,45
bit,45
demanded,45
hall,45
older,45
claimed,45
letters,45
civilian,45
wounded,44
attack,44
housed,44
fate,44
changed,44
fit,44
ended,44
deaths,44
lászló,44
lucky,44
idea,44
buried,44
directly,43
religious,43
greatest,43
departure,43
grew,43
hundreds,43
foremen,43
news,43
cement,43
oberscharführer,43
white,43
stepped,43
attacked,43
coat,43
iron,43
except,43
minute,43
coal,43
trade,42
names,42
kill,42
approached,42
bank,42
mind,42
wire,42
cheese,42
thirsty,42
emptied,42
command,42
political,42
measures,42
known,42
interned,41
siblings,41
general,41
space,41
stop,41
simply,41
altogether,41
eventually,41
torture,41
horribly,41
thick,41
laws,41
ditches,41
villages,41
cadavers,41
send,41
kinds,41
mad,41
enter,41
huszt,41
pair,41
guns,40
lining,40
corporal,40
whoever,40
suffer,40
ministry,40
leaving,40
sachsenhausen,40
physical,40
bricks,40
performed,40
totally,40
execute,40
jumped,40
complete,40
bomb,40
rags,40
form,40
slapped,40
arriving,40
bombs,40
barns,40
constructed,40
international,40
sat,39
thousands,39
field,39
heading,39
clear,39
generally,39
heat,39
civilians,39
miserable,39
summer,39
physicians,39
probably,39
burning,39
hidden,39
hurt,39
meal,39
late,39
occasion,39
position,39
breakfast,39
fellow,39
bunkers,39
shelter,38
decree,38
collecting,38
privates,38
baggage,38
using,38
experiences,38
dinner,38
rooms,38
bombed,38
main,38
fellows,38
hope,38
bathroom,38
portions,38
lager,38
vienna,38
locals,38
buildings,38
purpose,38
moving,38
smallest,38
eating,38
temple,38
watches,38
seen,38
trussed,38
broken,38
shared,38
bathing,38
rabbi,38
latter,37
parts,37
precisely,37
easy,37
wagon,37
beregszász,37
pace,37
light,37
normal,37
point,37
detectives,37
real,37
mill,37
fat,37
reveille,37
rifle,37
blow,37
fainted,37
ever,37
usually,37
missing,37
cried,37
bathed,37
panic,37
partisans,37
cover,37
singled,37
companies,37
imagine,37
despite,37
summoned,36
somewhat,36
újpest,36
bergen,36
occupation,36
step,36
control,36
disinfection,36
problems,36
direction,36
knees,36
pot,36
rushed,36
hospitals,36
destination,36
marányi,36
telling,36
capo,36
avoid,36
rubble,36
offered,36
learned,36
obtain,36
gone,36
mentioned,36
must,36
squeezed,36
river,36
escort,36
hear,35
suicide,35
works,35
bones,35
stolen,35
unfortunate,35
dresses,35
deprived,35
nevertheless,35
luck,35
weaving,35
bare,35
saturday,35
bunker,35
word,35
brutal,35
besides,35
survive,35
arm,35
sealed,35
bombings,35
mountains,35
provide,35
serviceman,35
strictly,35
failed,35
regarding,35
wore,35
stars,35
peels,34
alone,34
roof,34
fifty,34
concrete,34
christians,34
istván,34
slowly,34
kneel,34
actually,34
queue,34
peasants,34
experience,34
mainly,34
nearby,34
frequently,34
top,34
warned,34
meat,34
crowd,34
crowded,34
looking,34
issued,34
problem,34
similar,34
elder,33
józsef,33
separately,33
hence,33
lance,33
permission,33
loaded,33
common,33
heart,33
jászberény,33
designated,33
public,33
store,33
attempted,33
percent,33
steps,33
hill,33
agricultural,33
staff,33
hamburg,33
perished,33
seriously,33
ship,33
established,33
buda,33
dare,33
registered,33
infested,33
watched,32
chambers,32
sándor,32
supposed,32
sight,32
gun,32
obtained,32
liked,32
berth,32
perform,32
vác,32
kilo,32
transylvania,32
smell,32
distance,32
dirt,32
lead,32
warrant,32
aforementioned,32
bunks,32
check,31
disappeared,31
epidemic,31
god,31
enclosed,31
severe,31
safe,31
shouted,31
smaller,31
shift,31
packages,31
inedible,31
opposite,31
packed,31
wall,31
zulage,31
beatings,31
fall,31
antisemitic,31
pick,31
digging,31
dismissed,31
shower,31
csepel,31
pozsony,31
woods,31
task,30
companions,30
melk,30
spoke,30
slovakian,30
berlin,30
claiming,30
weapons,30
mayor,30
practically,30
unknown,30
decrees,30
stutthof,30
blockältester,30
washing,30
continue,30
excellent,30
zionist,30
brutally,30
extra,30
washed,30
identity,30
steal,30
frostbitten,30
prohibited,30
everyday,30
smoke,30
register,30
maybe,30
fortifications,30
occasions,30
gypsy,30
ask,30
stripped,29
workshop,29
remain,29
béla,29
accompanied,29
checked,29
fighting,29
sad,29
making,29
supervision,29
rows,29
contact,29
action,29
policeman,29
schutzpasses,29
starve,29
terror,29
dared,29
uniforms,29
build,29
institutes,29
particular,29
slice,29
machines,29
stone,29
nurse,29
b,29
mention,29
fetch,29
papers,29
supervisors,29
fine,28
gendarmerie,28
difficulties,28
grey,28
baja,28
krakow,28
armed,28
join,28
served,28
select,28
nine,28
waited,28
arrive,28
approach,28
warsaw,28
committed,28
matter,28
trouble,28
past,28
support,28
orders,28
dying,28
sugar,28
released,28
answered,28
poured,28
department,28
somehow,28
